source,author,title,description,url,urlToImage,publishedAt,content
"{'id': None, 'name': 'Mactrast.com'}",Chris Hauk,"Black Friday/Cyber Monday Streaming Deals as Low as $0.99 per Month From Hulu, Max, Paramount Plus & Peacock","there are several great Black Friday/Cyber Monday deals on multiple popular streaming services, including Hulu, Max, Paramount Plus, and Peacock.
The post Black Friday/Cyber Monday Streaming Deals as Low as $0.99 per Month From Hulu, Max, Paramount Plus & Pea…",https://www.mactrast.com/2023/11/black-friday-cyber-monday-streaming-deals-as-low-as-0-99-per-month-from-hulu-max-paramount-plus-peacock/,https://www.mactrast.com/wp-content/uploads/2018/04/cropped-icon-2.jpg,2023-11-25T18:37:21Z,"You fought the crowds on Black Friday, and now all you want to do is veg out in front of your Apple TV, iPhone, or other streaming-capable device for the rest of the weekend. You’re in luck, there ar… [+2101 chars]"
"{'id': 'marca', 'name': 'Marca'}",TBS,Gotham Awards 2023 nominations: What are the nominated films and who is predicted to win?,"On Monday night (November 27), the Gotham Awards will be hosted in New York and will offer prizes to actors such as Penelope Cruz and Rachel McAdams, but which movies are nominated",https://www.marca.com/en/lifestyle/movies/2023/11/25/6562317422601d9a078b45ad.html,https://phantom-marca.unidadeditorial.es/08c994329db0563a8dfa118304ac2dd4/crop/0x0/2044x1363/resize/1200/f/webp/assets/multimedia/imagenes/2023/11/25/17009337657612.jpg,2023-11-25T18:20:04Z,"On Monday night (November 27), the Gotham Awards will be hosted in New York and will offer prizes to actors such as Penelope Cruz and Rachel McAdams, but which movies are nominated?
What are the Got… [+5425 chars]"
"{'id': None, 'name': 'Theplaylist.net'}",Edward Davis,Margot Robbie Doesn’t Think ‘Barbie’ Needs A Sequel: “We Put Everything Into This One”,"In a year when Marvel movies are bombing, one that made a billion its first time out of the gate, and the theatrical business feels more vulnerable than ever, an outlier like “Barbie” really lifted the movie industry’s spirits this year. Both “Barbie” and “Op…",https://theplaylist.net/margot-robbie-doesnt-think-barbie-needs-a-sequel-we-put-everything-into-this-one-20231125/,https://cdn.theplaylist.net/wp-content/uploads/2023/11/25130731/barie-margot-gosling-robbie.jpg,2023-11-25T18:15:14Z,"In a year when Marvel movies are bombing, one that made a billion its first time out of the gate, and the theatrical business feels more vulnerable than ever, an outlier like Barbie really lifted the… [+3186 chars]"
"{'id': None, 'name': 'Hilobrow.com'}",,New Wave Sci-Fi: 75 Best Novels of 1964–1983,Comments,https://www.hilobrow.com/new-wave-sci-fi/,,2023-11-25T17:21:06Z,"Science fiction’s so-called New Wave era began in approximately 1964. Writing in 2003 about that “cusp” year, Michael Moorcock noted: “It will [soon] be 40 years since JG Ballard published The Termin… [+110474 chars]"
"{'id': None, 'name': 'POPSUGAR'}",Samantha Sasso,"""Saltburn"" Is the Y2K Movie We Never Saw Coming","Chiabella James/Prime Video
Perverse. Unhinged. Horrifying. Horny. Deliciously bad, but also perhaps the best movie of 2023. These are just a few ways in which critics - mostly people on X (formerly known as Twitter) - have described ""Saltburn,"" the new film …",https://www.popsugar.com/beauty/saltburn-hair-makeup-interview-49319528,https://media1.popsugar-assets.com/files/thumbor/sRU80idTHt45ANESDLSSIFzQYks=/0x0:2996x1573/fit-in/3000x2019/top/filters:format_auto():quality(85):upscale()/2023/11/22/997/n/1922153/cd4ec36d655e86f9960217.47592944_.jpg,2023-11-25T16:20:03Z,"Perverse. Unhinged. Horrifying. Horny. Deliciously bad, but also perhaps the best movie of 2023. These are just a few ways in which critics mostly people on X (formerly known as Twitter) have describ… [+6271 chars]"
"{'id': None, 'name': 'Adweek'}",Stephen Lepitak,Black Friday Reaches Record Spend of Nearly $10 Billion in US,"With the inflation rate dropping steadily over the past few months, consumers more freely opened their wallets (or, rather, charged their credit cards) at a record pace on Black Friday. According to Adobe Analytics, a record $9.8 billion was spent Friday, tra…",https://www.adweek.com/brand-marketing/black-friday-reaches-record-spend-of-nearly-10-billion-in-us/,https://static-prod.adweek.com/wp-content/uploads/2023/11/post-black-friday-research-2023-600x315.jpg,2023-11-25T15:51:55Z,"With the inflation rate dropping steadily over the past few months, consumers more freely opened their wallets (or, rather, charged their credit cards) at a record pace on Black Friday. 
According t… [+5521 chars]"
"{'id': None, 'name': 'UPROXX'}",Matthewprigge,"Sorry, But Margot Robbie Doesn’t Even See The Need For A ‘Barbie’ Sequel","warner bros/uproxx

'I think we put everything we had into this one,' the actress said about doing more with the year's highest grossing new movie.",https://uproxx.com/movies/margot-robbie-no-need-barbie-sequel/,https://uproxx.com/wp-content/uploads/2023/07/Barbie710x400.jpg?w=710,2023-11-25T15:31:34Z,"Heres some good news for conservatives: There will (probably) be no Barbie sequel. Over the summer Greta Gerwigs Mattel movie Hoovered up gobs of money, enough to make it the 14th highest grossing mo… [+1267 chars]"
"{'id': 'wired', 'name': 'Wired'}",Medea Giordano,71 Best Target Black Friday Deals (2023): Smart Home and Toys,"Need some smart home gadgets or toiletries? Target started its holiday sale early, with a price-match guarantee.",https://www.wired.com/story/best-target-black-friday-deals-2023-3/,"https://media.wired.com/photos/654e635d84c338ea7ce799d4/191:100/w_1280,c_limit/Black-Friday-Cyber-Monday-Best-Target-Deals.jpeg",2023-11-25T15:31:13Z,"Target Black Friday deals started at the beginning of the month. Thankfully, the retailer is offering a holiday price match guarantee from October 22 to December 24, so if something gets even cheaper… [+31400 chars]"
"{'id': None, 'name': 'Screen Rant'}",Dani Kessel Odom,2023 Secretly Became The Year Of The Toy Movie Battle Royal,"Though five movies based on toys released in 2023, one movie rose above the rest becoming the clear winner in the year of the toy movie battle royal.",https://screenrant.com/2023-toy-war-movies-rival-companies/,https://static1.srcdn.com/wordpress/wp-content/uploads/2023/11/2023-toy-movies-popular.jpg,2023-11-25T14:15:13Z,"Summary
<ul><li> Toy movies have been a popular trend in Hollywood since the late 1990s, and 2023 saw a surge in movies based on toys, including Transformers, Barbie, Dungeons &amp; Dragons, Trolls,… [+4281 chars]"
"{'id': None, 'name': 'Wealthofgeeks.com'}",Boloere Seibidor,24 Songs That Took a Wild Turn Away from the Ordinary,"November 25, 2023 Music is a universal language that speaks to the depths of our souls, but sometimes artists take a detour into the realm of the bizarre. It",https://wealthofgeeks.com/weirdest-songs-ever-recorded/,https://wealthofgeeks.com/wp-content/uploads/2023/09/the-beatles-album-covers.jpg,2023-11-25T13:00:08Z,"Music is a universal language that speaks to the depths of our souls, but sometimes artists take a detour into the realm of the bizarre. It just leaves you wondering if the artists ever thought about… [+10241 chars]"
"{'id': 'business-insider', 'name': 'Business Insider'}",mrenbarger@insider.com (Madeline Renbarger),"Meet the founder of the Failure Museum, an exclusive collection of swag from companies that went bust","When he's not busy making startup deals, Norwest partner Sean Jacobsohn collects items for his growing museum.",https://www.businessinsider.com/failure-museum-vc-norwest-venture-partners-startups-sean-jacobsohn,https://i.insider.com/655d2f404ca513d8242d5ad8?width=1200&format=jpeg,2023-11-25T11:00:01Z,"Sean Jacobsohn fashions himself as something of a ""scholar of failure.""
By day, the Bay Area venture capitalist at Norwest Venture Partners helps startup founders realize visions for their companies… [+4321 chars]"
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",The Feed,Will there be Barbie 2? Margot Robbie reveals details about the sequel,"Following the success of the initial Barbie movie, the excitement for a sequel is palpable. As fans eagerly await news about Barbie 2, Margot Robbie, the movie's star and a key figure in its success revealed the details about the possibility.",https://economictimes.indiatimes.com/news/international/us/will-there-be-barbie-2-margot-robbie-reveals-details-about-the-sequel/articleshow/105495949.cms,"https://img.etimg.com/thumb/msid-105495994,width-1200,height-630,imgsize-54864,overlay-economictimes/photo.jpg",2023-11-25T10:40:06Z,"With the triumph of the first Barbie movie, anticipation for a sequel is high. While fans are eager to know if there will be a Barbie 2, the star of the movie and one of the key architects of the hit… [+3496 chars]"
"{'id': None, 'name': 'BBC News'}",Bbc News,Late Late Toy Show: Tears and Christmas cheers in Kielty's debut,Patrick Kielty hosts his first Late Late Toy Show some many dubbing him the new 'toy man in town'.,https://www.bbc.com/news/articles/c4n0e4e9pg9o,https://ichef.bbci.co.uk/news/1024/branded_news/63aa/live/ac558e70-8b65-11ee-86a7-f1a20105070f.jpg,2023-11-25T08:21:55Z,"The Toy Show invites children into the studio to test the year's hottest toys
Songs, seasonal cheer and a special guest appearance by Elfis Pressley marked Patrick Kielty's debut as the host of the … [+7095 chars]"
"{'id': None, 'name': 'Independent.ie'}",Saoirse Hanley,From Kenergy to poetry: Nine best moments of the Late Late Toy Show,"In case you weren’t tuned into RTÉ One’s most festive night of the year, or you fell asleep before it ended (who could blame you, it went on until midnight), these are the best moments of Patrick Kielty’s first Late Late Toy Show stint.",https://www.independent.ie/entertainment/television/tv-news/from-kenergy-to-poetry-nine-best-moments-of-the-late-late-toy-show/a1198994563.html,https://focus.independent.ie/thumbor/zSaEiBFnIRe1xMfWuFFyIRK6Nfs=/0x0:3238x2158/3238x2158/prod-mh-ireland/47d23918-d419-4658-bf2c-8e0ffb9e0699/18061d72-be0a-4def-a2f2-63a5245f2a56/47d23918-d419-4658-bf2c-8e0ffb9e0699.jpg,2023-11-25T00:29:09Z,"There was a lot riding on tonights Toy Show being a success, given it's new host Patrick Kieltys first of hopefully many. These were the moments that made it memorable. 
In case you werent tuned int… [+4034 chars]"
"{'id': None, 'name': 'Screen Rant'}",Greg MacArthur,Did Ryan Gosling Actually Sing In Barbie?,"Ryan Gosling's character Ken in Greta Gerwig's Barbie has one of the most memorable songs on the Grammy-nominated soundtrack, &quot;I'm Just Ken.&quot;",https://screenrant.com/did-ryan-gosling-sing-in-barbie/,https://static1.srcdn.com/wordpress/wp-content/uploads/2023/11/did-ryan-gosling-sing-in-barbie.jpg,2023-11-25T00:07:20Z,"Summary
<ul><li> Ryan Gosling's character, Ken, sings ""I'm Just Ken"" in Greta Gerwig's Barbie movie, which has gained over 70 million streams and is nominated for a Grammy. </li><li> Gosling has a h… [+3060 chars]"
"{'id': None, 'name': 'Page Six'}",Hannah Southwick,"Don’t miss Sephora’s Black Friday sale for deals on Dyson, Olaplex, more",Among the products on Sephora's beauty nice list? Plenty of items stars swear by — from Rihanna’s Fenty Beauty to Olaplex haircare.,https://pagesix.com/style/best-sephora-black-friday-cyber-monday-2023-deals-sales/,https://pagesix.com/wp-content/uploads/sites/3/2023/11/black-friday-sephora-deals-2023.jpg?quality=75&strip=all&1700849337&w=1024,2023-11-24T23:54:42Z,"Page Six may be compensated and/or receive an affiliate commission if you buy through our links.
Whether you’re stocking up on gift-ready skincare sets or in search of some pre-mistletoe lip balm, t… [+2937 chars]"
"{'id': None, 'name': 'Digital Trends'}",Joe Allen,Check out this great movie before it leaves Amazon Prime Video next week,Looking for a great film to watch after Thanksgiving? Then check out this classic groundbreaking movie before it leaves Amazon Prime Video next week.,https://www.digitaltrends.com/movies/great-movie-on-prime-video-leaving-in-november-2023/,https://www.digitaltrends.com/wp-content/uploads/2023/11/2001-a-space-odyssey-astronauts.jpg?resize=1200%2C630&p=1,2023-11-24T23:00:43Z,"MGM
Every great streaming service has a bevy of worthy movies for you to check out. Unfortunately, given the fractured nature of the streaming landscape, it can be nearly impossible to keep track of… [+2606 chars]"
"{'id': None, 'name': 'Dark Horizons'}",Garth Franklin,Robbie Has Doubts About A “Barbie 2”,"Australian actress Margot Robbie has expressed doubts about the potential for a “Barbie” sequel, stating clearly the film was made with no plans for follow-ups. During a recent interview with Associated Press, Robbie was asked about her thoughts on a sequel t…",https://www.darkhorizons.com/robbie-has-doubts-about-a-barbie-2/,https://cdndark.darkhorizons.com/wp-content/uploads/2023/07/barbie-could-have-years-biggest-debut.jpg,2023-11-24T22:20:26Z,"Australian actress Margot Robbie has expressed doubts about the potential for a “Barbie” sequel, stating clearly the film was made with no plans for follow-ups.
During a recent interview with Associ… [+1261 chars]"
"{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",ABC News,This US comedian's first Netflix special has caused controversy. Was it on purpose?,"The TikTok famous comedian was ready for centre-stage with his first Netflix special, but a joke about domestic violence has caused controversy. Was it intentional?",https://www.abc.net.au/news/2023-11-25/matt-rife-netflix-controversy-domestic-violence/103146892,https://live-production.wcms.abc-cdn.net.au/1308b7b5859e1e325492a110e64e29eb?impolicy=wcms_crop_resize&cropH=1076&cropW=1914&xPos=0&yPos=0&width=862&height=485,2023-11-24T21:24:53Z,"If you're not on TikTok, there's a likely chance you hadn't encountered US comedian Matt Rife until this past week, when he hit two career milestones in short succession.
First, his Netflix stand-up… [+7931 chars]"
"{'id': None, 'name': 'Bangkok Post'}",AFP,'Black Friday' kicks off US shopping season amid economic unease,"NEW YORK - US retailers' efforts to attract holiday gift buyers build to a crescendo this weekend as the ""Black Friday"" shopping day kicked off with big discounts.",https://www.bangkokpost.com/world/2692134/black-friday-kicks-off-us-shopping-season-amid-economic-unease,https://static.bangkokpost.com/media/content/20231125/c1_4972919_700.jpg,2023-11-24T20:45:00Z,"NEW YORK - US retailers' efforts to attract holiday gift buyers build to a crescendo this weekend as the ""Black Friday"" shopping day kicked off with big discounts.
The major sales day after Thanksgi… [+3785 chars]"
"{'id': None, 'name': 'Digital Trends'}",Jason Struss,I review movies for a living — here are the best Black Friday DVD deals,"As Digital Trends' resident movie critic, here are my picks for the best Black Friday deals on DVDs and Blu-rays at Best Buy this year.",https://www.digitaltrends.com/movies/black-friday-2023-movie-deals-best-buy/,https://www.digitaltrends.com/wp-content/uploads/2023/07/Ryan-Gosling-and-Margot-Robbie-smile-at-each-other-in-Barbie.jpg?resize=1200%2C630&p=1,2023-11-24T20:30:07Z,"As a professional movie reviewer, I get to watch hundreds of movies each year. While it definitely has its pros and cons, one particular perk is that it comes in handy when the holiday season approac… [+4094 chars]"
"{'id': None, 'name': 'Theplaylist.net'}",Gregory Ellwood,Peter Sohn Revisits The Emotional Box Office Comeback Of ‘Elemental’ [Interview],"If you had listened to the media industry pundits on Sunday, June 18th, Disney and Pixar had another disappointment on their hands. Peter Sohn’s “Elemental,” just the second Pixar film to open directly in theaters since the end of the pandemic, earned just $2…",https://theplaylist.net/peter-sohn-revisits-the-emotional-box-office-comeback-of-elemental-interview-20231124/,https://cdn.theplaylist.net/wp-content/uploads/2023/11/21231356/Elemental.jpg,2023-11-24T20:00:22Z,"If you had listened to the media industry pundits on Sunday, June 18th, Disney and Pixar had another disappointment on their hands. Peter Sohn’s “Elemental,” just the second Pixar film to open direct… [+14203 chars]"
"{'id': None, 'name': 'Decider'}",mliss1578,"Stream It Or Skip It: ‘Letters to Santa’ on Hallmark, in Which A Marriage is Saved by Family Meddling and a Magic Pen","A film complete with original music, book pitches, and Zumba (talk about a Holy Trinity)!",https://decider.com/2023/11/24/letters-to-santa-hallmark-review/,https://decider.com/wp-content/uploads/2023/09/hallmark-letters-to-santa.jpg?quality=75&strip=all&w=1200,2023-11-24T19:00:00Z,Hallmark tries to tell a different kind of Christmas story complete with marital strife and Spanish speaking in Letters to Santa. Young siblings Sam (Kellen Raffaelo) and Izzy (Taylor Pezza)use a “ma… [+6717 chars]
"{'id': None, 'name': 'Just Jared'}",Just Jared,"Will 'Barbie' Get a Sequel? Margot Robbie Weighs In On Revisiting Iconic Character, Talks Biggest Takeaway","Barbie is without a doubt the biggest movie of the year, and fans started asking for a sequel almost as soon as they walked out of theaters. Despite fan demand, we learned that getting Barbie 2 would be significantly more complicated than most sequels. Now th…",https://www.justjared.com/2023/11/24/will-barbie-get-a-sequel-margot-robbie-weighs-in-on-revisiting-iconic-character-talks-biggest-takeaway/,https://cdn01.justjared.com/wp-content/uploads/headlines/2023/11/margot-sequel.jpg,2023-11-24T18:19:14Z,"Barbie is without a doubt the biggest movie of the year, and fans started asking for a sequel almost as soon as they walked out of theaters. 
Despite fan demand, we learned that getting Barbie 2 wou… [+1937 chars]"
"{'id': None, 'name': 'Everout.com'}",EverOut Staff,"The Best Bang for Your Buck Events in Portland This Weekend: Nov 24–26, 2023","Christmas Festival of Lights, Holiday Markets, and More Cheap & Easy Events Under $15
 
 by EverOut Staff
 
 
 
 The holiday season is now officially in full swing, and as such, there's plenty to busy yourself with. Make merry at events like the 39th Annual T…",https://everout.com/portland/articles/the-best-bang-for-your-buck-events-in-portland-this-weekend-nov-24-26-2023/c5234/,https://d2sa0osf92td39.cloudfront.net/eyJidWNrZXQiOiAiZXZlcm91dC1pbWFnZXMtcHJvZHVjdGlvbiIsICJrZXkiOiAiaW1hZ2UtMTcwMDgxNTAzMDkzNzAzMy1ncm90dG9saWdodHMuanBnIiwgImVkaXRzIjogeyJyZXNpemUiOiB7ImZpdCI6ICJpbnNpZGUiLCAicG9zaXRpb24iOiAiY2VudHJlIiwgIndpZHRoIjogMTIwMCwgImhlaWdodCI6IDYzMH19fQ==,2023-11-24T18:02:00Z,"Holiday hours may varyplease check event websites directly for the most up-to-date information.
Jump to: Friday | Saturday | Sunday | Multi-Day
PARTIES &amp; NIGHTLIFE
Bjork Friday 6RemindLikeList… [+22740 chars]"
"{'id': None, 'name': 'New Zealand Herald'}",Ricardo Simich,Margot Robbie’s new film: From Barbie to Saving the Wild’s NZ-based founder,"In her new movie, Robbie will highlight Saving the Wild's fight against rhino poaching.",https://www.nzherald.co.nz/lifestyle/margot-robbies-new-film-from-barbie-to-saving-the-wilds-nz-based-founder/JO5YPAPL6NBZFLDMHCQI6OPXEQ/,https://www.nzherald.co.nz/resizer/zJQ7dzxuoKfIrpaxLeAUZr7Qvjo=/1200x675/smart/filters:quality(70)/cloudfront-ap-southeast-2.images.arcpublishing.com/nzme/PHSAKMRYEFD7LCOLA52RTIXP2U.jpg,2023-11-24T18:00:00Z,"Margot Robbie is set to produce a movie based on Jamie Joseph's charity, Saving the Wild. Photo / Saving the WildInspirational New Zealand-based conservation activist Jamie Joseph has told Spy she ha… [+5914 chars]"
"{'id': 'vice-news', 'name': 'Vice News'}","Adam Rothbarth, Hilary Pollack",The Best Black Friday Streaming Deals of 2023 Are Here,"With these Black Friday deals from Hulu, Max (aka HBO), and Paramount Plus, you can subscribe for pennies and stop asking everyone for their logins.",https://www.vice.com/en/article/v7bqx3/best-black-friday-streaming-deals,https://video-images.vice.com/articles/6560d4446d60c5629a19508b/lede/1700845828157-bfstreamingdeals1.png?image-resize-opts=Y3JvcD0wLjk4NzY1NDMyMDk4NzY1NDR4dzoxeGg7Y2VudGVyLGNlbnRlciZyZXNpemU9MTIwMDoqJnJlc2l6ZT0xMjAwOio,2023-11-24T17:37:54Z,"VICE may receive a commission if you buy products through the links on our site. Read morehere.
Listen up, all you loafers, bums, scammers, and well-meaning password borrowers out there: I get it. I… [+3669 chars]"
"{'id': None, 'name': 'Variety'}",Peter Debruge,"From ‘Saltburn’ to ‘Barbie,’ Seven Scene-Stealing Cameos Strong Enough to Deserve Their Own Oscar Category",One of the eternal mysteries of awards season is how to determine whether Oscar-worthy actors should compete in the lead category or in supporting. Is Lily Gladstone’s role in “Killers of the Flower Moon” significant enough to warrant a best actress nom? Is “…,https://variety.com/2023/film/news/cameos-oscar-contenders-barbie-saltburn-origin-oppenheimer-1235805553/,https://variety.com/wp-content/uploads/2023/11/Saldburn-Barbie-Origin-Cameos.jpg?w=1000&h=562&crop=1,2023-11-24T17:30:00Z,One of the eternal mysteries of awards season is how to determine whether Oscar-worthy actors should compete in the lead category or in supporting. Is Lily Gladstone’s role in “Killers of the Flower … [+4305 chars]
"{'id': None, 'name': 'Android Headlines'}",Alexander Maxham,"Top Black Friday Streaming Service Deals: Hulu, Peacock and More Discounts","Black Friday is generally a time where a lot of streaming services will offer big discounts, to get you on-board with the service. We’ve seen some big discounts from streamers like Hulu before but this year, Disney has outdone themselves, offering some really…",https://www.androidheadlines.com/black-friday-streaming-service-deals-2023,https://www.androidheadlines.com/wp-content/uploads/2019/01/Hulu-AH-NS-07.jpg,2023-11-24T17:25:07Z,"Black Friday is generally a time where a lot of streaming services will offer big discounts, to get you on-board with the service. Weve seen some big discounts from streamers like Hulu before but thi… [+4132 chars]"
"{'id': None, 'name': 'National Observer'}",Volkmar Richter,"MOVIES: American Thanksgiving brings out big titles like Napoleon, Wish and May December","Also: a visit with the super rich, Nicolas Cage at his best, comedy from Finland and, for us, healing Canada's Indigenous",https://www.nationalobserver.com/2023/11/24/reviews/movies-american-thanksgiving-brings-out-big-titles-napoleon-wish-and-may-december,https://www.nationalobserver.com/sites/nationalobserver.com/files/styles/nat_social/public/img/2023/11/23/napoleon-wish_duo_600_2.jpg?itok=wnFjdjSr,2023-11-24T17:18:44Z,Thanksgiving weekend in the US must be a major moving going time because every year there's a large number of big films arriving for it. We get them when they do. Most started Wedneday. This year's l… [+11380 chars]
